Brand, Product Name, Price, Shipping 
AMD,AMD RYZEN 7 2700X 8-Core 3.7 GHz (4.3 GHz Max Boost) Socket AM4 105W YD270XBGAFBOX Desktop Processor,349.99,Free Shipping
AMD,AMD RYZEN 5 2600X 6-Core 3.6 GHz (4.2 GHz Max Boost) Socket AM4 95W YD260XBCAFBOX Desktop Processor,219.99,Free Shipping
AMD,AMD RYZEN 7 1700X 8-Core 3.4 GHz (3.8 GHz Turbo) Socket AM4 95W YD170XBCAEWOF Desktop Processor,289.99,Free Shipping
AMD,AMD RYZEN 5 2600 6-Core 3.4 GHz (3.9 GHz Max Boost) Socket AM4 65W YD2600BBAFBOX Desktop Processor,199.99,Free Shipping
AMD,AMD RYZEN 5 3600 6-Core 3.6 GHz (4.2 GHz Max Boost) Socket AM4 65W 100-100000031BOX Desktop Processor,279.99,$4.99 Shipping
AMD,AMD RYZEN 5 3600X 6-Core 3.8 GHz (4.4 GHz Max Boost) Socket AM4 95W 100-100000022BOX Desktop Processor,339.99,$4.99 Shipping
AMD,AMD RYZEN 7 2700 8-Core 3.2 GHz (4.1 GHz Max Boost) Socket AM4 65W YD2700BBAFBOX Desktop Processor,279.99,Free Shipping
AMD,AMD RYZEN 3 2200G Quad-Core 3.5 GHz (3.7 GHz Max Boost) Socket AM4 65W YD2200C5FBBOX Desktop Processor ,119.99,Free Shipping
AMD,AMD RYZEN 5 3400G 4-Core 3.7 GHz (4.2 GHz Max Boost) Socket AM4 65W YD3400C5FHBOX Desktop Processor,209.99,Free Shipping
AMD,AMD RYZEN 5 2400G Quad-Core 3.6 GHz (3.9 GHz Max Boost) Socket AM4 65W YD2400C5FBBOX Desktop Processor ,179.99,Free Shipping
AMD,AMD RYZEN 3 1200 4-Core 3.1 GHz (3.4 GHz Turbo) Socket AM4 65W YD1200BBAEBOX Desktop Processor,99.99,Free Shipping
AMD,AMD Ryzen 7 2700X AMD50 Gold Edition 3.7 GHz (4.3 GHz Max Boost) Socket AM4 YD270XBGAFA50 Desktop Processor,419.99,Free Shipping
AMD,AMD RYZEN 5 1600 6-Core 3.2 GHz (3.6 GHz Turbo) Socket AM4 65W YD1600BBAEBOX Desktop Processor,169.99,Free Shipping
AMD,AMD RYZEN 3 3200G 4-Core 3.6 GHz (4.0 GHz Max Boost) Socket AM4 65W YD3200C5FHBOX Desktop Processor,134.99,Free Shipping
AMD,AMD 2nd Gen Ryzen Threadripper 2950X| 16-Core| 32-Thread| 4.4 GHz Max Boost (3.5 GHz Base)| Socket sTR4 180W YD295XA8AFWOF Desktop Processor,999.99,Free Shipping
AMD,AMD 1st Gen RYZEN Threadripper 1950X 16-Core / 32 Threads 3.4 GHz Socket sTR4 180W YD195XA8AEWOF Desktop Processor,819.99,Free Shipping
AMD,AMD RYZEN 7 3800X 8-Core 3.9 GHz (4.5 GHz Max Boost) Socket AM4 105W 100-100000025BOX Desktop Processor,539.99,Free Shipping
AMD,AMD 1st Gen RYZEN Threadripper 1900X 8-Core / 16 Threads 3.8 GHz Socket sTR4 180W YD190XA8AEWOF Desktop Processor,419.99,Free Shipping
AMD,AMD 2nd Gen RYZEN Threadripper 2990WX 32-Core| 64-Thread| 4.2 GHz Max Boost (3.0 GHz Base)| Socket sTR4 250W YD299XAZAFWOF Desktop Processor,2249.99,$5.99 Shipping
AMD,AMD 2nd Gen Ryzen Threadripper 2920X 12-Core| 24-Thread| 4.3 GHz Max Boost (3.5 GHz Base)| Socket sTR4 180W YD292XA8AFWOF Desktop Processor,789.99,Free Shipping
AMD,AMD RYZEN 7 1800X 8-Core 3.6 GHz (4.0 GHz Turbo) Socket AM4 95W YD180XBCAEWOF Desktop Processor,519.33,Free Shipping
AMD,AMD Athlon 200GE 2-Core| 4-Thread| 3.2 GHz Base| Socket AM4 35W YD200GC6FBBOX Desktop Processor,79.49,Free Shipping
AMD,AMD RYZEN 5 1600X 6-Core 3.6 GHz (4.0 GHz Turbo) Socket AM4 95W YD160XBCAEWOF Desktop Processor,312.37,Free Shipping
AMD,AMD RYZEN 5 1500X 4-Core 3.5 GHz (3.7 GHz Turbo) Socket AM4 65W YD150XBBAEBOX Desktop Processor,239.99,Free Shipping
AMD,AMD RYZEN 7 1700 8-Core 3.0 GHz (3.7 GHz Turbo) Socket AM4 65W YD1700BBAEBOX Desktop Processor,454.99,Free Shipping
AMD,AMD RYZEN 5 1400 4-Core 3.2 GHz (3.4 GHz Turbo) Socket AM4 65W YD1400BBAEBOX Desktop Processor,234.99,Free Shipping
AMD,AMD 2nd Gen Ryzen Threadripper 24-Core| 48-Thread| 2970WX 4.2 GHz Max Boost (3.0 GHz Base)| Socket sTR4 250W YD297XAZAFWOF Desktop Processor,1827.69,$9.99 Shipping
AMD,AMD FX-8350 Black Edition Vishera 8-Core 4.0 GHz (4.2 GHz Turbo) Socket AM3+ 125W FD8350FRHKBOX Desktop Processor,289.99,Free Shipping
AMD,AMD RYZEN 3 1300X 4-Core 3.5 GHz (3.7 GHz Turbo) Socket AM4 65W YD130XBBAEBOX Desktop Processor,241.64,Free Shipping
AMD,AMD CPU FX-8350 Black Edition 4.0 GHz (4.2 GHz Turbo) Socket AM3+ FD8350FRHKHBX Desktop Processor with AMD Wraith Cooler,204.99,Free Shipping
AMD,AMD A10-7890K with AMD Wraith Cooler Quad-Core Socket FM2+ 95W AD789KXDJCHBX Desktop Processor AMD Radeon R7,479.99,Free Shipping
AMD,AMD A10-7870K Godavari Quad-Core 3.9 GHz Socket FM2+ 95W AD787KXDJCBOX Desktop Processor AMD Radeon R7,399.99,Free Shipping
AMD,AMD A8-9600 Bristol Ridge Quad-Core 3.1 GHz Socket AM4 65W AD9600AGABBOX Desktop Processor Radeon R7,113.40,Free Shipping
AMD,AMD A6-9500 Dual-Core 3.5 GHz Socket AM4 65W AD9500AGABBOX Desktop Processor Radeon R5,130.23,$9.99 Shipping
AMD,AMD A6-3500 Llano Triple-Core 2.1GHz (2.4GHz Max Turbo) Socket FM1 65W AD3500OJGXBOX Desktop APU (CPU + GPU) with DirectX 11 Graphic AMD Radeon HD 6530D,107.66,$9.99 Shipping
AMD,AMD A10-9700 Bristol Ridge Quad-Core 3.5 GHz Socket AM4 65W AD9700AGABBOX Desktop Processor Radeon R7,163.98,$9.99 Shipping
AMD,AMD Athlon X4 860k with AMD Quiet Cooler Quad-Core Socket FM2+ 95W AD860KXBJASBX Desktop Processor,189.99,Free Shipping
AMD,AMD A6-3670K Unlocked Llano Quad-Core 2.7 GHz Socket FM1 100W AD3670WNGXBOX Desktop APU (CPU + GPU) with DirectX 11 Graphic AMD Radeon HD 6530D,119.15,$9.99 Shipping
AMD,AMD A12-9800E Bristol Ridge Quad-Core 3.1 GHz Socket AM4 35W AD9800AHABBOX Desktop Processor Radeon R7,289.58,Free Shipping
AMD,AMD A10-9700E Bristol Ridge Quad-Core 3.0 GHz Socket AM4 35W AD9700AHABBOX Desktop Processor Radeon R7,264.27,Free Shipping
